"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Создание Траты","","Sat Feb 21 17:32:45 UTC 2026","passed","Sat Feb 21 17:32:45 UTC 2026","","","",""
"","1527","Редактирование категории","","Sat Feb 21 17:33:02 UTC 2026","passed","Sat Feb 21 17:33:04 UTC 2026","","","",""
"","27","Создание траты  без описания","","Sat Feb 21 17:32:46 UTC 2026","passed","Sat Feb 21 17:32:46 UTC 2026","","","",""
"","124","KAFKA: Сообщение с пользователем публикуется в Kafka после успешной регистрации","","Sat Feb 21 17:32:46 UTC 2026","passed","Sat Feb 21 17:32:46 UTC 2026","","","",""
"","27","Создание Траты","","Sat Feb 21 17:32:45 UTC 2026","passed","Sat Feb 21 17:32:45 UTC 2026","","","",""
"","101","Создание Траты","","Sat Feb 21 17:32:45 UTC 2026","passed","Sat Feb 21 17:32:45 UTC 2026","","","",""
"","374","Переход на страницу регистрации со страницы авторизации","","Sat Feb 21 17:32:55 UTC 2026","passed","Sat Feb 21 17:32:56 UTC 2026","","","",""
"","585","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Sat Feb 21 17:33:11 UTC 2026","passed","Sat Feb 21 17:33:12 UTC 2026","","","",""
"","370","test_country_name_service","","Sat Feb 21 17:32:47 UTC 2026","passed","Sat Feb 21 17:32:47 UTC 2026","","","",""
"","2360","Успешная авторизация","","Sat Feb 21 17:32:49 UTC 2026","passed","Sat Feb 21 17:32:51 UTC 2026","","","",""
"","460","Создание категории","","Sat Feb 21 17:32:44 UTC 2026","passed","Sat Feb 21 17:32:45 UTC 2026","","","",""
"","1627","Сообщение об ошибке при попытке добавить трату без суммы","","Sat Feb 21 17:33:22 UTC 2026","passed","Sat Feb 21 17:33:24 UTC 2026","","","",""
"","1771","Успешное добавление траты","","Sat Feb 21 17:33:19 UTC 2026","passed","Sat Feb 21 17:33:21 UTC 2026","","","",""
"","21","Получение траты","","Sat Feb 21 17:32:46 UTC 2026","passed","Sat Feb 21 17:32:46 UTC 2026","","","",""
"","109","test_country_iso_service","","Sat Feb 21 17:32:47 UTC 2026","passed","Sat Feb 21 17:32:47 UTC 2026","","","",""
"","993","Отменить добавление траты","","Sat Feb 21 17:33:17 UTC 2026","passed","Sat Feb 21 17:33:18 UTC 2026","","","",""
"","35","Отображение сообщения при попытке создать категорию без названия","","Sat Feb 21 17:33:00 UTC 2026","passed","Sat Feb 21 17:33:00 UTC 2026","","","",""
"","536","Успешная регистрация","","Sat Feb 21 17:33:09 UTC 2026","passed","Sat Feb 21 17:33:10 UTC 2026","","","",""
"","1632","Выход из аккаунта","","Sat Feb 21 17:32:52 UTC 2026","passed","Sat Feb 21 17:32:54 UTC 2026","","","",""
"","591","Отображение сообщения об ошибке если пользователь уже существует","","Sat Feb 21 17:33:14 UTC 2026","passed","Sat Feb 21 17:33:14 UTC 2026","","","",""
"","23","Редактирование категории","","Sat Feb 21 17:32:45 UTC 2026","passed","Sat Feb 21 17:32:45 UTC 2026","","","",""
"","28","Редактирование траты","","Sat Feb 21 17:32:46 UTC 2026","passed","Sat Feb 21 17:32:46 UTC 2026","","","",""
"","43","Получить все категории","","Sat Feb 21 17:32:45 UTC 2026","passed","Sat Feb 21 17:32:45 UTC 2026","","","",""
"","1478","Сообщение об ошибке при попытке добавить трату без категории","","Sat Feb 21 17:33:25 UTC 2026","passed","Sat Feb 21 17:33:26 UTC 2026","","","",""
"","1699","Редактирование категории","","Sat Feb 21 17:33:05 UTC 2026","passed","Sat Feb 21 17:33:06 UTC 2026","","","",""
"","37","Удаление траты","","Sat Feb 21 17:32:46 UTC 2026","passed","Sat Feb 21 17:32:46 UTC 2026","","","",""
"","598","Переход на страницу авторизации со страницы регистрации","","Sat Feb 21 17:33:15 UTC 2026","passed","Sat Feb 21 17:33:15 UTC 2026","","","",""
"","44","Редактирование категории","","Sat Feb 21 17:32:45 UTC 2026","passed","Sat Feb 21 17:32:45 UTC 2026","","","",""
"","503","Отображение сообщения о неправильном логине или пароле","","Sat Feb 21 17:32:54 UTC 2026","passed","Sat Feb 21 17:32:55 UTC 2026","","","",""
"","608","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Sat Feb 21 17:33:10 UTC 2026","passed","Sat Feb 21 17:33:11 UTC 2026","","","",""
"","396","Редактирование категории","","Sat Feb 21 17:33:08 UTC 2026","passed","Sat Feb 21 17:33:09 UTC 2026","","","",""
"","26","Создание Траты","","Sat Feb 21 17:32:45 UTC 2026","passed","Sat Feb 21 17:32:45 UTC 2026","","","",""
"","537","Отображение сообщения об ошибке если пароли не совпадают","","Sat Feb 21 17:33:12 UTC 2026","passed","Sat Feb 21 17:33:13 UTC 2026","","","",""
"","886","KAFKA: Заполнение userdata исключая auth","","Sat Feb 21 17:32:46 UTC 2026","passed","Sat Feb 21 17:32:47 UTC 2026","","","",""
"","143","Добавить новую категорию","","Sat Feb 21 17:32:58 UTC 2026","passed","Sat Feb 21 17:32:58 UTC 2026","","","",""
"","789","Переход на страницу авторизации со страницы успешной регистрации","","Sat Feb 21 17:33:16 UTC 2026","passed","Sat Feb 21 17:33:16 UTC 2026","","","",""
