"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","UI","0","Страница Профиль","5","0","","0"
"0","API","0","Траты","8","0","","0"
"0","UI","0","Страница авторизации","4","0","","0"
"0","grpc","0","Курсы валют","17","0","","0"
"0","Kafka","0","","2","0","","0"
"0","UI","0","Страница Траты","4","0","","0"
"0","UI","0","Страница Регистрации","7","0","","0"
"0","API","0","Категории","4","0","","0"
"0","","0","Курсы валют","1","0","","0"
"0","Soap","0","Country service","2","0","","0"
