"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1720","Редактирование категории","","Thu Mar 26 20:05:55 UTC 2026","passed","Thu Mar 26 20:05:57 UTC 2026","","","",""
"","37","Удаление траты","","Thu Mar 26 20:05:36 UTC 2026","passed","Thu Mar 26 20:05:36 UTC 2026","","","",""
"","411","Отображение сообщения о неправильном логине или пароле","","Thu Mar 26 20:05:46 UTC 2026","passed","Thu Mar 26 20:05:46 UTC 2026","","","",""
"","46","Отображение сообщения при попытке создать категорию без названия","","Thu Mar 26 20:05:51 UTC 2026","passed","Thu Mar 26 20:05:51 UTC 2026","","","",""
"","5","Конвертация Евро в разные валюты и обратно","","Thu Mar 26 20:05:37 UTC 2026","passed","Thu Mar 26 20:05:37 UTC 2026","","","",""
"","10","Конвертация без параметра desired_currency","","Thu Mar 26 20:05:36 UTC 2026","passed","Thu Mar 26 20:05:36 UTC 2026","","","",""
"","872","KAFKA: Заполнение userdata исключая auth","","Thu Mar 26 20:05:37 UTC 2026","passed","Thu Mar 26 20:05:38 UTC 2026","","","",""
"","5","Конвертация долларов в разные валюты и обратно","","Thu Mar 26 20:05:36 UTC 2026","passed","Thu Mar 26 20:05:36 UTC 2026","","","",""
"","1711","Успешное добавление траты","","Thu Mar 26 20:06:11 UTC 2026","passed","Thu Mar 26 20:06:12 UTC 2026","","","",""
"","1514","Сообщение об ошибке при попытке добавить трату без категории","","Thu Mar 26 20:06:16 UTC 2026","passed","Thu Mar 26 20:06:18 UTC 2026","","","",""
"","591","Отображение сообщения об ошибке если пароли не совпадают","","Thu Mar 26 20:06:03 UTC 2026","passed","Thu Mar 26 20:06:04 UTC 2026","","","",""
"","20","Получение траты","","Thu Mar 26 20:05:36 UTC 2026","passed","Thu Mar 26 20:05:36 UTC 2026","","","",""
"","152","Добавить новую категорию","","Thu Mar 26 20:05:49 UTC 2026","passed","Thu Mar 26 20:05:49 UTC 2026","","","",""
"","609","Переход на страницу авторизации со страницы регистрации","","Thu Mar 26 20:06:06 UTC 2026","passed","Thu Mar 26 20:06:06 UTC 2026","","","",""
"","1577","Выход из аккаунта","","Thu Mar 26 20:05:44 UTC 2026","passed","Thu Mar 26 20:05:45 UTC 2026","","","",""
"","98","Создание Траты","","Thu Mar 26 20:05:36 UTC 2026","passed","Thu Mar 26 20:05:36 UTC 2026","","","",""
"","45","Получить все категории","","Thu Mar 26 20:05:35 UTC 2026","passed","Thu Mar 26 20:05:36 UTC 2026","","","",""
"","25","Создание Траты","","Thu Mar 26 20:05:36 UTC 2026","passed","Thu Mar 26 20:05:36 UTC 2026","","","",""
"","5","Конвертация Тенге в разные валюты и обратно","","Thu Mar 26 20:05:37 UTC 2026","passed","Thu Mar 26 20:05:37 UTC 2026","","","",""
"","6","Конвертация Тенге в разные валюты и обратно","","Thu Mar 26 20:05:37 UTC 2026","passed","Thu Mar 26 20:05:37 UTC 2026","","","",""
"","6","Конвертация Евро в разные валюты и обратно","","Thu Mar 26 20:05:37 UTC 2026","passed","Thu Mar 26 20:05:37 UTC 2026","","","",""
"","6","Конвертация без параметра spendCurrency","","Thu Mar 26 20:05:36 UTC 2026","passed","Thu Mar 26 20:05:36 UTC 2026","","","",""
"","37","Редактирование категории","","Thu Mar 26 20:05:35 UTC 2026","passed","Thu Mar 26 20:05:35 UTC 2026","","","",""
"","396","Редактирование категории","","Thu Mar 26 20:05:59 UTC 2026","passed","Thu Mar 26 20:05:59 UTC 2026","","","",""
"","10","Получить все курсы валют","","Thu Mar 26 20:05:37 UTC 2026","passed","Thu Mar 26 20:05:37 UTC 2026","","","",""
"","6","Конвертация Евро в разные валюты и обратно","","Thu Mar 26 20:05:37 UTC 2026","passed","Thu Mar 26 20:05:37 UTC 2026","","","",""
"","137","Test CountryISOCode","","Thu Mar 26 20:05:38 UTC 2026","passed","Thu Mar 26 20:05:38 UTC 2026","","","",""
"","5","Конвертация долларов в разные валюты и обратно","","Thu Mar 26 20:05:36 UTC 2026","passed","Thu Mar 26 20:05:37 UTC 2026","","","",""
"","5","Конвертация Евро в разные валюты и обратно","","Thu Mar 26 20:05:37 UTC 2026","passed","Thu Mar 26 20:05:37 UTC 2026","","","",""
"","615","Отображение сообщения об ошибке если пользователь уже существует","","Thu Mar 26 20:06:05 UTC 2026","passed","Thu Mar 26 20:06:05 UTC 2026","","","",""
"","5","Конвертация долларов в разные валюты и обратно","","Thu Mar 26 20:05:36 UTC 2026","passed","Thu Mar 26 20:05:36 UTC 2026","","","",""
"","5","Конвертация долларов в разные валюты и обратно","","Thu Mar 26 20:05:37 UTC 2026","passed","Thu Mar 26 20:05:37 UTC 2026","","","",""
"","479","Создание категории","","Thu Mar 26 20:05:35 UTC 2026","passed","Thu Mar 26 20:05:35 UTC 2026","","","",""
"","23","Создание Траты","","Thu Mar 26 20:05:36 UTC 2026","passed","Thu Mar 26 20:05:36 UTC 2026","","","",""
"","870","Переход на страницу авторизации со страницы успешной регистрации","","Thu Mar 26 20:06:07 UTC 2026","passed","Thu Mar 26 20:06:08 UTC 2026","","","",""
"","2367","Успешная авторизация","","Thu Mar 26 20:05:40 UTC 2026","passed","Thu Mar 26 20:05:42 UTC 2026","","","",""
"","327","Переход на страницу регистрации со страницы авторизации","","Thu Mar 26 20:05:47 UTC 2026","passed","Thu Mar 26 20:05:47 UTC 2026","","","",""
"","28","Редактирование траты","","Thu Mar 26 20:05:36 UTC 2026","passed","Thu Mar 26 20:05:36 UTC 2026","","","",""
